Ticker,Nome,Ponderação,Ações,Preço,MainTicker,YFTicker,SetorEconomico,Industria,NomeCompletoParaAuditoria,Pais,Moeda
BHVN UN Equity,Biohaven Ltd,0.003888,70.053,49.23,BHVN,BHVN,Healthcare,Biotechnology,Biohaven Ltd.,United States,USD
BBIO UW Equity,Bridgebio Pharma Inc,0.003863,139.814,24.51,BBIO,BBIO,Healthcare,Biotechnology,"BridgeBio Pharma, Inc.",United States,USD
GFS UW Equity,GLOBALFOUNDRIES Inc,0.003807,86.003,39.27,GFS,GFS,Technology,Semiconductors,GlobalFoundries Inc.,United States,USD
KTOS UW Equity,Kratos Defense & Security Solutions Inc,0.003803,146.308,23.06,KTOS,KTOS,Industrials,Aerospace & Defense,Kratos Defense & Security Solut,United States,USD
POWI UW Equity,Power Integrations Inc,0.003791,55.609,60.48,POWI,POWI,Technology,Semiconductors,"Power Integrations, Inc.",United States,USD
ANA SQ Equity,Acciona SA,0.003728,23.806,124.8,ANA,AVXL,Healthcare,Biotechnology,Anavex Life Sciences Corp.,United States,USD
TGTX UR Equity,TG Therapeutics Inc,0.003678,139.734,23.35,TGTX,TGTX,Healthcare,Biotechnology,"TG Therapeutics, Inc.",United States,USD
BWIN UW Equity,Baldwin Insurance Group Inc/The,0.003646,65.032,49.74,BWIN,BWIN,Financial Services,Insurance Brokers,"The Baldwin Insurance Group, In",United States,USD
NMIH UQ Equity,NMI Holdings Inc,0.003594,77.904,40.92,NMIH,NMIH,Financial Services,Insurance—Specialty,NMI Holdings Inc,United States,USD
FOLD UQ Equity,Amicus Therapeutics Inc,0.003588,292.517,10.88,FOLD,FOLD,Healthcare,Biotechnology,"Amicus Therapeutics, Inc.",United States,USD
RYTM UQ Equity,Rhythm Pharmaceuticals Inc,0.003569,60.591,52.25,RYTM,RYTM,Healthcare,Biotechnology,"Rhythm Pharmaceuticals, Inc.",United States,USD
APLS UW Equity,Apellis Pharmaceuticals Inc,0.003563,103.32,30.59,APLS,APLS,Healthcare,Biotechnology,"Apellis Pharmaceuticals, Inc.",United States,USD
DNLI UW Equity,Denali Therapeutics Inc,0.003558,108.832,29,DNLI,DNLI,Healthcare,Biotechnology,Denali Therapeutics Inc.,United States,USD
